Sample ID,Lamination Time (min),Lamination Pressure (MPa),Lamination Temperature (Celsius),Estimated Grain Size (nm)
sl27,5,8.27,120,139.1157895
sl27,5,8.27,120,141.3428571
sl27,5,8.27,120,157.216
sl27,5,8.27,120,149.8153846
sl27,5,8.27,120,164.9702128
sl27,5,8.27,120,159.1836735
sl27,5,8.27,120,165.4333333
sl27,5,8.27,120,167.7957447
sl28,10,8.27,100,167.6255319
sl28,10,8.27,100,165.6
sl28,10,8.27,100,163.9666667
sl28,10,8.27,100,153.0153846
sl28,10,8.27,100,168.7829787
sl28,10,8.27,100,175.2533333
sl28,10,8.27,100,149.5692308
sl28,10,8.27,100,179.4181818
sl29,10,8.27,150,414.2896552
sl29,10,8.27,150,434.1142857
sl29,10,8.27,150,465.7230769
sl29,10,8.27,150,413.0758621
sl29,10,8.27,150,309.5794872
sl29,10,8.27,150,343.2685714
sl29,10,8.27,150,379.5
sl29,10,8.27,150,412.6896552
sl31,10,5.515,120,199.92
sl31,10,5.515,120,195.395122
sl31,10,5.515,120,201.4358974
sl31,10,5.515,120,215.0486486
sl31,10,5.515,120,136.1898305
sl31,10,5.515,120,188.8761905
sl31,10,5.515,120,160.9469388
sl31,10,5.515,120,141.2571429
sl32,10,2.76,150,270.8266667
sl32,10,2.76,150,295.1111111
sl32,10,2.76,150,334.3333333
sl32,10,2.76,150,288.2285714
sl32,10,2.76,150,402.16
sl32,10,2.76,150,473.6
sl32,10,2.76,150,369.5272727
sl32,10,2.76,150,366.3272727
sl33,15,5.515,150,479.744
sl33,15,5.515,150,571.8857143
sl33,15,5.515,150,667.6444444
sl33,15,5.515,150,667.2
sl33,15,5.515,150,499.2
sl33,15,5.515,150,499.5333333
sl33,15,5.515,150,428.1714286
sl33,15,5.515,150,386.4774194
sl34,10,2.76,100,185.4883721
sl34,10,2.76,100,211.9578947
sl34,10,2.76,100,194.1853659
sl34,10,2.76,100,173.0434783
sl34,10,2.76,100,171.2
sl34,10,2.76,100,168.8851064
sl34,10,2.76,100,175.8577778
sl35,15,5.515,100,181.4545455
sl35,15,5.515,100,194.7317073
sl35,15,5.515,100,209.0947368
sl35,15,5.515,100,187.1238095
sl35,15,5.515,100,179.9636364
sl35,15,5.515,100,218.4
sl35,15,5.515,100,213.1459459
sl35,15,5.515,100,185.0418605
sl36,10,8.27,150,312.9684211
sl36,10,8.27,150,358.5411765
sl36,10,8.27,150,423.6571429
