Sample ID,Lamination Time (min),Lamination Pressure (MPa),Lamination Temperature (Celsius),PL Normalized Max Intensity (counts/sec),PL Sample Location (deg)
sl27,5,8.27,120,2.147562849,25.94736842
sl27,5,8.27,120,2.276516152,30.68421053
sl27,5,8.27,120,2.081639736,35.42105263
sl27,5,8.27,120,2.091107756,40.15789474
sl27,5,8.27,120,2.067621298,44.89473684
sl27,5,8.27,120,2.060002934,49.63157895
sl27,5,8.27,120,1.980554418,54.36842105
sl27,5,8.27,120,1.956147962,59.10526316
sl27,5,8.27,120,1.891028115,63.84210526
sl28,10,8.27,100,1.945000136,25.94736842
sl28,10,8.27,100,1.94173698,30.68421053
sl28,10,8.27,100,1.933669176,35.42105263
sl28,10,8.27,100,1.862967307,40.15789474
sl28,10,8.27,100,1.820164159,44.89473684
sl28,10,8.27,100,1.827616935,49.63157895
sl28,10,8.27,100,1.837249771,54.36842105
sl28,10,8.27,100,1.753477008,59.10526316
sl28,10,8.27,100,1.69580527,63.84210526
sl29,10,8.27,150,4.530911538,25.94736842
sl29,10,8.27,150,3.347113801,30.68421053
sl29,10,8.27,150,3.052882152,35.42105263
sl29,10,8.27,150,3.012816571,40.15789474
sl29,10,8.27,150,2.880623809,44.89473684
sl29,10,8.27,150,2.848853726,49.63157895
sl29,10,8.27,150,2.818929516,54.36842105
sl29,10,8.27,150,2.790654293,59.10526316
sl29,10,8.27,150,2.76053722,63.84210526
sl30,10,8.27,150,3.674415576,25.94736842
sl30,10,8.27,150,3.735696108,30.68421053
sl30,10,8.27,150,3.720054758,35.42105263
sl30,10,8.27,150,4.021855991,40.15789474
sl30,10,8.27,150,3.856368115,44.89473684
sl30,10,8.27,150,3.724660203,49.63157895
sl30,10,8.27,150,3.600771399,54.36842105
sl30,10,8.27,150,4.439427476,59.10526316
sl30,10,8.27,150,7.058123353,63.84210526
sl31,10,5.515,120,2.025007528,25.94736842
sl31,10,5.515,120,2.110071583,30.68421053
sl31,10,5.515,120,1.92841597,35.42105263
sl31,10,5.515,120,1.875128513,40.15789474
sl31,10,5.515,120,1.882918109,44.89473684
