Sample ID,Lamination Time (min),Lamination Pressure (MPa),Lamination Temperature (Celsius),Percent area Transfer (%),Heuristic Sample Stdev (%)
20220502_0102,5,8.273712,70,9.1101406,9.634654169
20220502_0304,5,8.273712,70,1.7115796,10.29230404
20220405_0102,15,8.273712,70,1.0072049,10.35491512
20220405_0405,15,8.273712,70,3.8088875,10.10587667
20220414_0304,15,8.273712,70,7.7012225,9.759891333
20220502_0506,15,8.273712,70,18.242535,8.822885778
20220720_0102,15,8.273712,70,26.164507,8.118710489
20220622_0304,5,5.515808,80,1.5185174,10.30946512
20220627_0607,5,5.515808,80,14.664561,9.140927911
20220706_0708,5,5.515808,80,17.408694,8.897004978
20220622_0102,10,8.273712,80,42.340039,6.680885422
20220627_0405,10,8.273712,80,50.05015,5.995542222
20220918_0708,15,2.757904,80,9.1335844,9.632570276
20220622_0809,15,5.515808,80,12.5136,9.332124444
20220627_0203,15,5.515808,80,36.636886,7.187832356
20220324_0304,15,8.273712,80,73.121305,3.944772889
20220324_0506,15,8.273712,80,69.472311,4.269127911
20220328_0911,15,8.273712,80,34.942154,7.3384752
20220414_0506,15,8.273712,80,19.888794,8.676551644
20220418_0103,15,8.273712,80,74.359356,3.834723911
20220918_0910,15,8.273712,80,60.549531,5.062263911
20220720_1112,5,0,90,2.6092585,10.21251036
20220425_0708,5,8.273712,90,62.12171,4.922514667
20220425_1314,5,8.273712,90,50.32063,5.971499556
20220425_1516,15,8.273712,90,69.2732,4.286826667
20220727_0506,0,0,100,30.091702,7.769626489
20220804_0304,0,0,100,19.598717,8.702336267
20220713_0910,5,0,100,20.370023,8.633775733
20220622_1213,5,2.757904,100,43.020492,6.620400711
20220627_1415,5,2.757904,100,72.108757,4.034777156
20220622_0514,5,8.273712,100,76.882086,3.610481244
20220627_1213,5,8.273712,100,66.372259,4.544688089
20230520_0304,10,0,100,50.593772,5.947220267
20220622_1516,10,5.515808,100,81.443172,3.205051378
20220627_1011,10,5.515808,100,80.658844,3.274769422
20220713_0102,15,0,100,30.093596,7.769458133
20220622_1011,15,2.757904,100,45.360065,6.412438667
20220627_0890,15,2.757904,100,70.969192,4.136071822
20220918_0103,15,5.515808,100,57.352564,5.346438756
20220324_0809,15,8.273712,100,85.39646,2.853648
20220328_1213,15,8.273712,100,82.716332,3.0918816
20220405_0607,15,8.273712,100,88.111457,2.612314933
20220706_0910,15,8.273712,100,87.514916,2.6653408
20220918_0204,15,8.273712,100,73.335672,3.925718044
20230520_1112,5,2.757904,120,66.220895,4.558142667
20230520_1314,5,5.515808,120,75.56136,3.727879111
20230520_0910,10,2.757904,120,77.663464,3.541025422
20230519_0506,10,5.515808,120,76.35646,3.657203556
20220324_1012,15,8.273712,120,94.880874,2.010588978
20220405_0809,15,8.273712,120,93.785493,2.107956178
20220405_1011,15,8.273712,120,91.822277,2.282464267
20220804_0506,0,0,150,48.21527,6.158642667
20220804_0708,0,0,150,64.485489,4.712400978
20220127&20220119_09xx,5,1.378952,150,83.80993,2.994672889
20220127&20220119_12xx,5,1.378952,150,77.992044,3.511818311
20220208_1517_400psi_05min_side1_full_T_20X_1_S7,5,2.757904,150,77.266544,3.5763072
20220217_0709,5,4.28854072,150,93.18537,2.161300444
20220217_1011,5,4.28854072,150,92.329427,2.237384267
20220627_1617,5,5.515808,150,92.990834,2.178592533
20220627_1920,5,5.515808,150,87.721234,2.647001422
20220208_0203_5min_side1_full_T_20X_1_1,5,8.273712,150,91.405107,2.319546044
20220208_0607_05min_side1_full_T_20X_1_S3,5,8.273712,150,92.91894,2.184983111
20220127_xx_5min,5,8.273712,150,93.6732,2.117937778
20220127_xx_5minA,5,8.273712,150,94.4891,2.045413333
20220222_0102,5,8.273712,150,93.80252,2.106442667
20220222_0708,5,8.273712,150,96.406554,1.874972978
20220208_1213_400psi_10min_side1_full_T_20X_1_S6,10,2.757904,150,69.723083,4.246837067
20220405_1213,10,2.757904,150,97.162371,1.807789244
20220627_0118,10,2.757904,150,95.97942,1.912940444
20220217_0102,10,4.28854072,150,87.52922,2.664069333
20220217_0304,10,4.28854072,150,91.61373,2.301001778
20220208_0405_10min_side1_full_T_20X_1_S2,10,8.273712,150,93.652421,2.1197848
20220127_xx_10min,10,8.273712,150,94.9795,2.001822222
20220222_0304,10,8.273712,150,95.760671,1.9323848
20220713_0506,15,0,150,61.719216,4.958291911
20220713_0708,15,0,150,66.680678,4.517273067
20220114_notCrooked,15,1.378952,150,94.6369,2.032275556
20220114_crooked,15,1.378952,150,91.4448,2.316017778
20220127_1011,15,1.378952,150,90.149477,2.4311576
20220208_1011_400psi_15min_side1_full_T_20X_1_S5,15,2.757904,150,86.558778,2.750330844
20220208_1819_400psi_15min_side1_full_T_20X_1_S8,15,2.757904,150,82.168077,3.140615378
20220114,15,2.757904,150,92.547685,2.217983556
20220114,15,2.757904,150,89.508616,2.488123022
20220114,15,2.757904,150,96.295833,1.884814844
20220114,15,5.515808,150,92.547685,2.217983556
20220114,15,5.515808,150,89.508616,2.488123022
20220114,15,5.515808,150,96.295833,1.884814844
20220114,15,8.273712,150,92.547685,2.217983556
20220114,15,8.273712,150,89.508616,2.488123022
20220114,15,8.273712,150,96.295833,1.884814844
20220127_1314,15,2.757904,150,89.227813,2.513083289
20220127_1516,15,5.515808,150,95.133398,1.9881424
20220706_1113,15,5.515808,150,94.041547,2.085195822
20220208_0809_15min_side1_full_T_20X_1_S4,15,8.273712,150,93.585706,2.125715022
20220127_1718,15,8.273712,150,94.392218,2.054025067
20220222_0506,15,8.273712,150,95.289524,1.974264533
20220222_0910,15,8.273712,150,96.63136,1.854990222
20220414_0708,15,8.273712,150,95.650979,1.9421352
20220414_0910,15,8.273712,150,95.57664,1.948743111
20220918_0506,15,8.273712,150,92.415348,2.229746844
