Sample ID,Lamination Time (min),Lamination Pressure (MPa),Lamination Temperature (Celsius),Percent area Transfer (%),"Sample to Sample Stdev (%) (Fitted line value for ones with only 1 trial, calculated stdev for ones with multiple trials)","Measurement Stdev (%) (stDev of matLab code results for the two sides, average value of 0.492937 used for ones with only 1 side (there are 7 like this))",N1 (number samples at this lamination condition),N2 (number measurements of this sample)
20220713_1314_2,30,24.821136,50,8.0603657,12.36699364,0.086041601,1,1
20220502_0102,5,8.273712,70,9.11014056,5.231572602,0.56639943,2,1
20220502_0304,5,8.273712,70,1.711579633,5.231572602,0.01692773,2,1
20220324_0102,15,8.273712,70,37.38000005,14.10258707,0.688629178,7,1
20220328_0304,15,8.273712,70,0.984510479,14.10258707,0.252382043,7,1
20220405_0102,15,8.273712,70,1.007204876,14.10258707,0.16066848,7,1
20220405_0405,15,8.273712,70,3.808887482,14.10258707,1.1482748,7,1
20220414_0304,15,8.273712,70,7.701222549,14.10258707,0.30436188,7,1
20220502_0506,15,8.273712,70,18.24253469,14.10258707,0.041168546,7,1
20220720_0102,15,8.273712,70,26.16450732,14.10258707,0.364820655,7,1
20220502_0708,35,8.273712,70,50.69780014,0.364027451,0.639201318,2,1
20220502_0910,35,8.273712,70,50.18298758,0.364027451,0.905273285,2,1
20220713_1112_2,30,24.821136,70,74.30988864,6.491694531,0.593459709,1,1
20220727_0102,30,0,80,4.950898467,13.65613981,0.327630433,1,1
20220727_0304,60,0,80,27.77206636,9.094938777,0.648043257,1,1
20220622_0607,10,2.757904,80,1.301228844,17.19054748,0.492936516,1,1
20220918_0708,15,2.757904,80,9.133584359,12.03637054,0.037470704,1,1
20220622_0304,5,5.515808,80,1.518517359,8.493590261,0.163708817,3,1
20220627_0607,5,5.515808,80,14.6645607,8.493590261,0.075223712,3,1
20220706_0708,5,5.515808,80,17.40869444,8.493590261,0.166509411,3,1
20220622_0809,15,5.515808,80,12.51359983,17.05773937,0.120584211,2,1
20220627_0203,15,5.515808,80,36.6368862,17.05773937,0.214674927,2,1
20220622_0102,10,8.273712,80,42.34003886,5.451871805,0.16691946,2,1
20220627_0405,10,8.273712,80,50.05014991,5.451871805,0.266335938,2,1
20220324_0304,15,8.273712,80,73.1213051,22.70514449,0.258123231,6,1
20220324_0506,15,8.273712,80,69.47231076,22.70514449,0.581434834,6,1
20220328_0911,15,8.273712,80,34.94215353,22.70514449,0.276223338,6,1
20220414_0506,15,8.273712,80,19.88879392,22.70514449,0.345972704,6,1
20220418_0103,15,8.273712,80,74.35935587,22.70514449,0.160589037,6,1
20220918_0910,15,8.273712,80,60.54953115,22.70514449,0.0184034,6,1
20220418_0405,25,8.273712,80,77.83919166,2.381432704,0.460934235,2,1
20220418_0809,25,8.273712,80,74.47133724,2.381432704,1.424937075,2,1
20220418_0607,35,8.273712,80,79.23969748,0.879165486,0.043360567,2,1
20220418_1011,35,8.273712,80,77.99636973,0.879165486,0.889139896,2,1
20220524_0304,15,3.9989608,85,3.478760895,2.931567159,0.492936516,2,1
20220524_0607,15,3.9989608,85,7.62462293,2.931567159,0.492936516,2,1
20220524_0102,30,16.00273796,85,80.90386526,0.775424846,0.202338835,2,1
20220524_0809,30,16.00273796,85,82.00048159,0.775424846,0.078653421,2,1
20220720_1112,5,0,90,2.609258509,15.35027021,0.146657398,1,1
20220425_0708,5,8.273712,90,62.12171354,8.344625667,0.929342421,2,1
20220425_1314,5,8.273712,90,50.32063075,8.344625667,0.292354963,2,1
20220425_1516,15,8.273712,90,69.27319837,6.677336369,0.839609158,1,1
20220425_0910,35,8.273712,90,89.69963916,5.110754342,8.907423295,2,1
20220425_1718,35,8.273712,90,82.47194105,5.110754342,0.106849663,2,1
20220727_0506,0,0,100,30.09170178,7.419660551,0.206747461,2,1
20220804_0304,0,0,100,19.5987172,7.419660551,0.684364354,2,1
20220713_0910,5,0,100,20.37002281,9.914799794,0.225714023,1,1
20230520_0304,10,0,100,50.59377199,7.508473656,1.337605977,1,1
20220713_0102,15,0,100,30.0935956,8.882593759,0.549552174,1,1
20220713_0304,30,0,100,43.84400022,7.887212796,0.492936516,1,1
20220622_1213,5,2.757904,100,43.02049165,20.56851003,0.492936516,2,1
20220627_1415,5,2.757904,100,72.10875749,20.56851003,1.043119142,2,1
20220622_1011,15,2.757904,100,45.36006532,18.10838713,0.145989419,2,1
20220627_0890,15,2.757904,100,70.96919199,18.10838713,0.010706507,2,1
20220622_1516,10,5.515808,100,81.44317161,0.55460305,0.164092027,2,1
20220627_1011,10,5.515808,100,80.65884445,0.55460305,0.352574422,2,1
20220918_0103,15,5.515808,100,57.35256407,7.176819576,0.457367254,1,1
20220622_0514,5,8.273712,100,76.882086,7.43156973,0.494144626,2,1
20220627_1213,5,8.273712,100,66.37225929,7.43156973,0.085457951,2,1
20220324_0809,15,8.273712,100,85.39646023,6.018163915,1.472853225,5,1
20220328_1213,15,8.273712,100,82.71633182,6.018163915,0.310458781,5,1
20220405_0607,15,8.273712,100,88.11145718,6.018163915,0.0876308,5,1
20220706_0910,15,8.273712,100,87.51491589,6.018163915,0.492936516,5,1
20220918_0204,15,8.273712,100,73.33567237,6.018163915,0.775713912,5,1
20230520_1112,5,2.757904,120,66.22089503,6.796525453,0.540758659,1,1
20230520_0910,10,2.757904,120,77.66346391,6.374941868,0.862814729,1,1
20230520_1314,5,5.515808,120,75.56136026,6.447520356,0.092132446,1,1
20230519_0506,10,5.515808,120,76.3564599,6.419833575,1.668658051,1,1
20220324_1012,15,8.273712,120,94.88087354,1.54968228,0.465736457,3,1
20220405_0809,15,8.273712,120,93.78549342,1.54968228,0.122051404,3,1
20220405_1011,15,8.273712,120,91.82227681,1.54968228,0.492936516,3,1
20220804_0506,0,0,150,48.21526953,11.50478243,2.16323479,2,1
20220804_0708,0,0,150,64.48548887,11.50478243,0.884070192,2,1
20220713_0506,15,0,150,61.71921564,3.508283489,0.495652966,2,1
20220713_0708,15,0,150,66.68067773,3.508283489,0.253333961,2,1
20220127&20220119_09xx,5,1.378952,150,83.80993023,4.113866541,0.199301126,2,1
20220127&20220119_12xx,5,1.378952,150,77.99204438,4.113866541,2.072427973,2,1
20220114_crooked,15,1.378952,150,91.4448,2.309557349,0.00933,3,1
20220114_notCrooked,15,1.378952,150,94.6369,2.309557349,0.03521,3,1
20220127_1011,15,1.378952,150,90.14947686,2.309557349,0.978476369,3,1
20220208_1517_400psi_05min_side1_full_T_20X_1_S7,5,2.757904,150,77.26654399,6.388494511,0.576000812,1,1
20220208_1213_400psi_10min_side1_full_T_20X_1_S6,10,2.757904,150,69.72308313,15.51187253,0.896207139,3,1
20220405_1213,10,2.757904,150,97.16237123,15.51187253,0.173967574,3,1
20220627_0118,10,2.757904,150,95.97942013,15.51187253,0.216210774,3,1
20220114,15,2.757904,150,92.54768478,4.386215842,0.87733123,4,1
20220127_1314,15,2.757904,150,89.22781274,4.386215842,0.858728363,4,1
20220208_1011_400psi_15min_side1_full_T_20X_1_S5,15,2.757904,150,86.55877777,4.386215842,0.900032581,4,1
20220208_1819_400psi_15min_side1_full_T_20X_1_S8,15,2.757904,150,82.16807727,4.386215842,0.908160701,4,1
20220217_0709,5,4.28854072,150,93.18536673,0.605240741,0.663141621,2,1
20220217_1011,5,4.28854072,150,92.32942706,0.605240741,0.657301292,2,1
20220217_0102,10,4.28854072,150,87.52921726,2.888187627,0.239939112,2,1
20220217_0304,10,4.28854072,150,91.61373138,2.888187627,0.240852752,2,1
20220627_1617,5,5.515808,150,92.99083362,3.726169605,0.121982838,2,1
20220627_1920,5,5.515808,150,87.72123402,3.726169605,0.2877225,2,1
20220114,15,5.515808,150,89.5086155,2.982666377,1.307503982,3,1
20220127_1516,15,5.515808,150,95.13339843,2.982666377,0.13095307,3,1
20220706_1113,15,5.515808,150,94.04154726,2.982666377,0.278396693,3,1
20220127_xx_5min,5,8.273712,150,93.6732,1.661025203,0.4695,6,1
20220127_xx_5minA,5,8.273712,150,94.4891,1.661025203,0.16,6,1
20220208_0203_5min_side1_full_T_20X_1_1,5,8.273712,150,91.40510664,1.661025203,0.35814715,6,1
20220208_0607_05min_side1_full_T_20X_1_S3,5,8.273712,150,92.91894031,1.661025203,0.586046923,6,1
20220222_0102,5,8.273712,150,93.80251505,1.661025203,0.520779069,6,1
20220222_0708,5,8.273712,150,96.40655383,1.661025203,1.247592556,6,1
20220127_xx_10min,10,8.273712,150,94.9795,1.065839871,0.0473,3,1
20220208_0405_10min_side1_full_T_20X_1_S2,10,8.273712,150,93.65242074,1.065839871,0.05308313,3,1
20220222_0304,10,8.273712,150,95.76067119,1.065839871,0.372865348,3,1
20220114,15,8.273712,150,96.29583324,1.425651455,1.950188072,8,1
20220127_1718,15,8.273712,150,94.39221839,1.425651455,0.372067245,8,1
20220208_0809_15min_side1_full_T_20X_1_S4,15,8.273712,150,93.58570634,1.425651455,0.545471274,8,1
20220222_0506,15,8.273712,150,95.28952389,1.425651455,0.002814537,8,1
20220222_0910,15,8.273712,150,96.63135684,1.425651455,0.241488187,8,1
20220414_0708,15,8.273712,150,95.65097901,1.425651455,0.812137685,8,1
20220414_0910,15,8.273712,150,95.57663993,1.425651455,0.453880655,8,1
20220918_0506,15,8.273712,150,92.41534806,1.425651455,0.466560972,8,1
