Sample ID,Lamination Temperature (Celsius),Lamination Pressure (MPa),Lamination Time (min),PL Normalized Max Intensity Location-Averaged (counts/sec)count,PL Normalized Max Intensity Location-Averaged (counts/sec)mean,PL Normalized Max Intensity Location-Averaged (counts/sec)std,Actual Sample-to-sample Stdev,PL Normalized Max Intensity Parameter-Averaged (counts/sec)std,N1 (# measurements),Stdev_1,Stdev_2,Stdev_eff
sl34,100,2.76,10,9,2.623432423,0.785379462,0.751957443,0.793880501,9,0.261793154,0.751957443,0.79622588
sl44,100,2.76,10,9,1.149368847,0.040175497,0.751957443,0.793880501,9,0.013391832,0.751957443,0.752076683
sl62,100,2.76,10,9,1.628190604,0.39702059,0.751957443,0.793880501,9,0.132340197,0.751957443,0.763514194
sl56,100,5.515,5,9,2.478061466,0.123044362,0.679754471,0.645173171,9,0.041014787,0.679754471,0.680990714
sl58,100,5.515,5,9,1.207924239,0.127850524,0.679754471,0.645173171,9,0.042616841,0.679754471,0.68108908
sl59,100,5.515,5,9,1.423157183,0.53072863,0.679754471,0.645173171,9,0.176909543,0.679754471,0.702398126
sl35,100,5.515,15,9,2.005293503,0.405350256,0.532087718,0.50150278,9,0.135116752,0.532087718,0.548975297
sl40,100,5.515,15,9,1.083566467,0.059680721,0.532087718,0.50150278,9,0.019893574,0.532087718,0.532459477
sl60,100,5.515,15,9,1.083814665,0.111833538,0.532087718,0.50150278,9,0.037277846,0.532087718,0.533391955
sl28,100,8.27,10,9,1.846409638,0.085979514,0.548803139,0.462585092,9,0.028659838,0.548803139,0.549550973
sl45,100,8.27,10,9,0.905253976,0.030224472,0.548803139,0.462585092,9,0.010074824,0.548803139,0.548895607
sl65,100,8.27,10,9,0.886726326,0.097360953,0.548803139,0.462585092,9,0.032453651,0.548803139,0.54976188
sl66,100,8.27,15,9,2.03413018,0.050815801,0.10218814,0.109996556,9,0.0169386,0.10218814,0.10358249
sl67,100,8.27,15,9,2.178646034,0.106681423,0.10218814,0.109996556,9,0.035560474,0.10218814,0.108198722
sl39,120,2.76,5,9,2.065214875,0.208457593,0.961956801,0.859511199,9,0.069485864,0.961956801,0.964463153
