Sample ID,Lamination Time (min),Lamination Pressure (MPa),Lamination Temperature (Celsius),N1 (# measurements),Numbe of samples per condition,Estimated Grain Size (nm)mean,Estimated Grain Size (nm)std,Stdev of measurement means partial,"Stdev of measurement means (for samples conditions with 1 sample, I estimated the standard deviation as the average standard deviation of all other samples at the same temperature)",Stdev_2,Stdev1,Stdev_eff
sl34,10,2.76,100,8,2,178.313613,19.49309329,15.54617672,15.54617672,15.54617672,6.891849227,17.00532847
sl44,10,2.76,100,8,2,156.3279991,10.35009936,,15.54617672,15.54617672,3.659312721,15.97104192
sl2,15,3.31,100,8,1,152.5272614,10.5241899,,6.349789749,6.349789749,3.720863022,7.359663816
sl56,5,5.515,100,8,2,201.6175529,13.20469126,3.369008554,3.369008554,3.369008554,4.668563367,5.757230458
sl59,5,5.515,100,8,2,196.8530553,15.07538037,,3.369008554,3.369008554,5.329951845,6.305442514
sl35,15,5.515,100,8,2,196.1195302,15.28917754,2.864921168,2.864921168,2.864921168,5.405540557,6.117813499
sl60,15,5.515,100,8,2,192.0679199,6.864163794,,2.864921168,2.864921168,2.426848383,3.754645972
sl28,10,8.27,100,8,2,165.4039135,10.11421497,3.619052557,3.619052557,3.619052557,3.575914996,5.087701786
sl45,10,8.27,100,8,2,170.5220267,7.75340993,,3.619052557,3.619052557,2.741244369,4.540039879
sl7,15,8.27,100,8,1,184.0550583,22.2290245,,6.349789749,6.349789749,7.85914698,10.10376272
sl39,5,2.76,120,8,1,187.909433,9.259604862,,17.80868192,17.80868192,3.273764695,18.10708942
sl47,15,2.76,120,8,2,188.571459,15.87549053,20.96730685,20.96730685,20.96730685,5.612833506,21.70557202
sl57,15,2.76,120,8,2,218.2237088,22.28047813,,20.96730685,20.96730685,7.877338587,22.39822359
sl31,10,5.515,120,8,2,179.8837213,29.72194791,30.41515172,30.41515172,30.41515172,10.50829546,32.17927481
sl37,10,5.515,120,8,2,222.8972414,18.37882138,,30.41515172,30.41515172,6.497894613,31.10151264
sl27,5,8.27,120,8,2,155.6091244,11.06566194,19.15441637,19.15441637,19.15441637,3.912302299,19.54987917
sl41,5,8.27,120,8,2,182.6975598,16.07846361,,19.15441637,19.15441637,5.684595325,19.98014741
sl42,15,8.27,120,8,2,185.4981294,16.77427286,0.697852755,0.697852755,0.697852755,5.930601045,5.971518
sl49,15,8.27,120,8,2,184.5112166,11.14278623,,0.697852755,0.697852755,3.939569853,4.000901035
sl32,10,2.76,150,8,2,350.0142785,67.59953386,7.995352288,7.995352288,7.995352288,23.9000444,25.20194002
sl43,10,2.76,150,8,2,361.3214141,60.98524693,,7.995352288,7.995352288,21.56154083,22.99621058
sl1,15,3.31,150,8,1,491.7528536,85.33942217,,50.14097546,50.14097546,30.17204206,58.51896738
sl46,5,5.515,150,8,2,312.9804906,61.55455522,35.91307053,35.91307053,35.91307053,21.7628217,41.99248794
sl53,5,5.515,150,8,2,262.1917392,18.40413364,,35.91307053,35.91307053,6.506843848,36.49777599
sl33,15,5.515,150,8,3,524.9820425,103.2978491,117.6100176,117.6100176,117.6100176,36.52130479,123.1499977
sl54,15,5.515,150,8,3,331.114368,58.6024315,,117.6100176,117.6100176,20.71908836,119.4210905
sl8,15,5.515,150,8,3,543.4078269,78.73554286,,117.6100176,117.6100176,27.83721814,120.859534
sl5,5,8.27,150,8,1,317.1980715,23.66863063,,50.14097546,50.14097546,8.36812461,50.83446597
sl29,10,8.27,150,8,3,396.5300742,50.3385086,39.04546145,39.04546145,39.04546145,17.79735039,42.91029877
sl36,10,8.27,150,8,3,401.3151696,66.47664334,,39.04546145,39.04546145,23.50304265,45.57346896
sl6,10,8.27,150,8,3,331.4209825,22.78301883,,39.04546145,39.04546145,8.055013555,39.8676724
sl4,15,8.27,150,8,1,298.3410232,21.27199876,,50.14097546,50.14097546,7.520787286,50.7018704
