Sample ID,Lamination Temperature (Celsius),Lamination Pressure (MPa),Lamination Time (min),PL,PL Normalized Max Intensity Location-Averaged (counts/sec)std,PL Normalized Max Intensity Parameter-Averaged (counts/sec)mean,PL Normalized Max Intensity Parameter-Averaged (counts/sec)std,N2 (samples),Stdev_2,N1 (measurements),Stdev_1,Stdev_eff
sl34,100,2.76,10,2.623432423,0.785379462,1.800330625,0.793880501,3,0.458347121,9,0.261793154,0.527842532
sl44,100,2.76,10,1.149368847,0.040175497,1.800330625,0.793880501,3,0.458347121,9,0.013391832,0.458542718
sl62,100,2.76,10,1.628190604,0.39702059,1.800330625,0.793880501,3,0.458347121,9,0.132340197,0.477070237
sl56,100,5.515,5,2.478061466,0.123044362,1.703047629,0.645173171,3,0.372490904,9,0.041014787,0.37474216
sl58,100,5.515,5,1.207924239,0.127850524,1.703047629,0.645173171,3,0.372490904,9,0.042616841,0.374920883
sl59,100,5.515,5,1.423157183,0.53072863,1.703047629,0.645173171,3,0.372490904,9,0.176909543,0.4123669
sl35,100,5.515,15,2.005293503,0.405350256,1.390891545,0.50150278,3,0.289542765,9,0.135116752,0.319517682
sl40,100,5.515,15,1.083566467,0.059680721,1.390891545,0.50150278,3,0.289542765,9,0.019893574,0.290225373
sl60,100,5.515,15,1.083814665,0.111833538,1.390891545,0.50150278,3,0.289542765,9,0.037277846,0.291932613
sl28,100,8.27,10,1.846409638,0.085979514,1.212796647,0.462585092,3,0.267073627,9,0.028659838,0.268606978
sl45,100,8.27,10,0.905253976,0.030224472,1.212796647,0.462585092,3,0.267073627,9,0.010074824,0.267263586
sl65,100,8.27,10,0.886726326,0.097360953,1.212796647,0.462585092,3,0.267073627,9,0.032453651,0.269038216
sl66,100,8.27,15,2.03413018,0.050815801,2.106388107,0.109996556,2,0.07777931,9,0.0169386,0.07960237
sl67,100,8.27,15,2.178646034,0.106681423,2.106388107,0.109996556,2,0.07777931,9,0.035560474,0.085522912
sl39,120,2.76,5,2.065214875,0.208457593,1.500277937,0.859511199,3,0.496239022,9,0.069485864,0.501080285
sl51,120,2.76,5,0.389560967,0.144447927,1.500277937,0.859511199,3,0.496239022,9,0.048149309,0.498569476
sl61,120,2.76,5,2.04605797,0.504565761,1.500277937,0.859511199,3,0.496239022,9,0.168188587,0.523966189
sl47,120,2.76,15,4.038303606,0.14716819,2.320663273,1.387397992,3,0.801014604,9,0.049056063,0.802515354
sl50,120,2.76,15,0.736376988,0.196493773,2.320663273,1.387397992,3,0.801014604,9,0.065497924,0.803687983
sl57,120,2.76,15,2.187309226,0.181054149,2.320663273,1.387397992,3,0.801014604,9,0.060351383,0.803284934
sl31,120,5.515,10,1.872830048,0.132011931,1.45928479,0.775178607,3,0.447549577,9,0.044003977,0.449707654
sl37,120,5.515,10,2.09535927,0.143984741,1.45928479,0.775178607,3,0.447549577,9,0.047994914,0.450115692
sl52,120,5.515,10,0.409665051,0.166722249,1.45928479,0.775178607,3,0.447549577,9,0.055574083,0.45098681
sl27,120,8.27,5,2.061353469,0.112734427,2.357977137,0.61015285,3,0.352271912,9,0.037578142,0.354270542
sl41,120,8.27,5,1.976077862,0.582220947,2.357977137,0.61015285,3,0.352271912,9,0.194073649,0.402194084
sl55,120,8.27,5,3.03650008,0.27791464,2.357977137,0.61015285,3,0.352271912,9,0.092638213,0.364249006
sl42,120,8.27,15,2.325742674,0.05766257,2.367032687,0.402099933,3,0.232152504,9,0.019220857,0.232946832
sl49,120,8.27,15,2.713773165,0.257987669,2.367032687,0.402099933,3,0.232152504,9,0.08599589,0.247568331
sl63,120,8.27,15,2.061582221,0.462010291,2.367032687,0.402099933,3,0.232152504,9,0.15400343,0.27858902
sl68,135,8.27,15,3.249093989,0.329447275,3.176475654,0.280980489,2,0.198683209,9,0.109815758,0.227012155
sl69,135,8.27,15,3.10385732,0.217642178,3.176475654,0.280980489,2,0.198683209,9,0.072547393,0.211513928
sl75,150,2.76,5,4.23797193,0.168884857,7.4981896,4.966648193,2,3.511950617,9,0.056294952,3.512401779
sl80,150,2.76,5,10.75840727,5.336180508,7.4981896,4.966648193,2,3.511950617,9,1.778726836,3.936707545
sl32,150,2.76,10,7.183330482,2.968802959,8.289356949,2.517742339,3,1.453619217,9,0.989600986,1.758499059
sl43,150,2.76,10,7.120450875,1.703132066,8.289356949,2.517742339,3,1.453619217,9,0.567710689,1.56054614
sl48,150,2.76,10,10.56428949,0.389631815,8.289356949,2.517742339,3,1.453619217,9,0.129877272,1.45940979
sl74,150,2.76,15,5.299454697,0.453936833,7.515695495,2.530409462,3,1.460932584,9,0.151312278,1.468747568
sl77,150,2.76,15,8.855911948,2.663424438,7.515695495,2.530409462,3,1.460932584,9,0.887808146,1.70954009
sl83,150,2.76,15,8.39171984,2.25832536,7.515695495,2.530409462,3,1.460932584,9,0.75277512,1.64347023
sl46,150,5.515,5,4.757257082,0.824623899,4.063681483,0.737816159,3,0.425978358,9,0.274874633,0.506965112
sl53,150,5.515,5,3.669700462,0.346455879,4.063681483,0.737816159,3,0.425978358,9,0.115485293,0.441355202
sl64,150,5.515,5,3.764086906,0.390380291,4.063681483,0.737816159,3,0.425978358,9,0.130126764,0.445410525
sl73,150,5.515,10,9.696108998,1.629084148,7.971297019,3.788444436,3,2.187259415,9,0.543028049,2.253659959
sl79,150,5.515,10,3.376958369,0.560013559,7.971297019,3.788444436,3,2.187259415,9,0.186671186,2.195210669
sl81,150,5.515,10,10.84082369,2.70568577,7.971297019,3.788444436,3,2.187259415,9,0.901895257,2.365907607
sl33,150,5.515,15,7.121653481,1.266426806,8.559086824,3.571733392,3,2.062141235,9,0.422142269,2.104906309
sl38,150,5.515,15,5.705609037,0.316664786,8.559086824,3.571733392,3,2.062141235,9,0.105554929,2.064840991
sl54,150,5.515,15,12.84999795,2.749366782,8.559086824,3.571733392,3,2.062141235,9,0.916455594,2.256616345
sl76,150,8.27,5,6.684056772,2.608373688,4.533298568,2.312591046,3,1.335175063,9,0.869457896,1.593313993
sl78,150,8.27,5,4.228951555,0.564866925,4.533298568,2.312591046,3,1.335175063,9,0.188288975,1.348386142
