Time (sec),Temp (C),Pressure (MPa),Mean,StDev
5.0,0.0,70.0,2.062244847466313,3.11510924575
5.0,0.16877551020408177,70.0,2.0623114887160634,3.11510924575
5.0,0.33755102040816354,70.0,2.0623715622261414,3.11510924575
5.0,0.5063265306122444,70.0,2.062424316558933,3.11510924575
5.0,0.6751020408163262,70.0,2.0624689838896533,3.11510924575
5.0,0.8438775510204088,70.0,2.062504784980973,3.11510924575
5.0,1.0126530612244897,70.0,2.0625309347131346,3.11510924575
5.0,1.1814285714285715,70.0,2.0625466481436643,3.11510924575
5.0,1.3502040816326533,70.0,2.0625511470617233,3.11510924575
5.0,1.518979591836735,70.0,2.0625436669940393,3.11510924575
5.0,1.6877551020408168,70.0,2.0625234646125192,3.11510924575
5.0,1.8565306122448977,70.0,2.062489825488402,3.11510924575
5.0,2.0253061224489795,70.0,2.062442072134242,3.11510924575
5.0,2.194081632653061,70.0,2.062379572273127,3.11510924575
5.0,2.362857142857143,70.0,2.0623017472739646,3.11510924575
5.0,2.5316326530612243,70.0,2.0622080806920313,3.11510924575
5.0,2.7004081632653056,70.0,2.0620981268544316,3.11510924575
5.0,2.869183673469388,70.0,2.0619715194298296,3.11510924575
5.0,3.037959183673469,70.0,2.0618279799197707,3.11510924575
5.0,3.206734693877551,70.0,2.0616673260041125,3.11510924575
5.0,3.3755102040816327,70.0,2.0614894796647008,3.11510924575
5.0,3.544285714285714,70.0,2.060368408867491,3.11510924575
5.0,3.713061224489796,70.0,2.0586436191619133,3.11510924575
5.0,3.8818367346938776,70.0,2.0567841868374868,3.11510924575
5.0,4.050612244897959,70.0,2.054793783446819,3.11510924575
5.0,4.219387755102041,70.0,2.0526772096366344,3.11510924575
5.0,4.388163265306122,70.0,2.0504289222515344,3.11510924575
5.0,4.556938775510204,70.0,2.0475916451094536,3.11510924575
5.0,4.725714285714286,70.0,2.044628573456746,3.11510924575
5.0,4.894489795918367,70.0,2.0415512230756887,3.11510924575
5.0,5.063265306122449,70.0,2.0383724684185256,3.11510924575
5.0,5.23204081632653,70.0,2.033050848472617,3.0502314014886753
5.0,5.400816326530612,70.0,2.0266981004116458,2.906968809189681
5.0,5.569591836734694,70.0,2.020249721340995,2.7740519018769403
5.0,5.738367346938776,70.0,2.0137393415057576,2.651307475134483
5.0,5.9071428571428575,70.0,2.0060564632715834,2.60885129352674
5.0,6.075918367346938,70.0,1.9981464061702876,2.603686612031868
5.0,6.24469387755102,70.0,1.9902971770611955,2.5988245208416427
5.0,6.413469387755102,70.0,1.98174716652036,2.5942935413974086
5.0,6.582244897959184,70.0,1.9586060505095784,2.589587669572691
5.0,6.751020408163265,70.0,1.9362291911012368,2.579286792462812
5.0,6.919795918367347,70.0,1.9147283028111537,2.5701316267048404
5.0,7.088571428571428,70.0,1.8945411550540536,2.562184391675699
5.0,7.25734693877551,70.0,1.8846346742382427,2.555504596347371
5.0,7.426122448979592,70.0,1.8752711202043792,2.5501486260293458
5.0,7.594897959183673,70.0,1.8664961954389183,2.546169251893747
5.0,7.763673469387755,70.0,1.8583503586766488,2.543615066447209
5.0,7.932448979591837,70.0,1.8480221146765174,2.542529856059456
5.0,8.101224489795918,70.0,1.8171614167014156,2.542951928452172
5.0,8.27,70.0,1.7898993895532436,2.544913418246187
5.0,0.0,71.63265306122449,2.063298912661091,3.11510924575
5.0,0.16877551020408177,71.63265306122449,2.0639395009546835,3.11510924575
5.0,0.33755102040816354,71.63265306122449,2.0645193810319107,3.11510924575
5.0,0.5063265306122444,71.63265306122449,2.0650310583834615,3.11510924575
5.0,0.6751020408163262,71.63265306122449,2.065466836379772,3.11510924575
5.0,0.8438775510204088,71.63265306122449,2.065818866305427,3.11510924575
5.0,1.0126530612244897,71.63265306122449,2.0660792037292226,3.11510924575
5.0,1.1814285714285715,71.63265306122449,2.066239870951892,3.11510924575
5.0,1.3502040816326533,71.63265306122449,2.0662929251556985,3.11510924575
5.0,1.518979591836735,71.63265306122449,2.0662305317718603,3.11510924575
5.0,1.6877551020408168,71.63265306122449,2.066045042489015,3.11510924575
5.0,1.8565306122448977,71.63265306122449,2.0657290772532235,3.11510924575
5.0,2.0253061224489795,71.63265306122449,2.0652756095606772,3.11510924575
5.0,2.194081632653061,71.63265306122449,2.064678054319046,3.11510924575
5.0,2.362857142857143,71.63265306122449,2.0639303575500323,3.11510924575
5.0,2.5316326530612243,71.63265306122449,2.063027087218946,3.11510924575
